Group	Italian	English
1	Nel	At the
1	tempo	time
1	che	when
1	Iunone	Juno
1	era	was
1	crucciata	wroth
1	per	because of
1	Semelè	Semele
1	contra	against
1	'l	the
1	sangue	blood
1	tebano	Theban
1	come	as
1	mostrò	she showed
1	una	once
1	e	-
1	altra	more than
1	fïata	-
2	Atamante	Athamas
2	divenne	became
2	tanto	so
2	insano	insane
2	che	that
2	veggendo	seeing
2	la	his
2	moglie	wife
2	con	with
2	due	two
2	figli	sons
2	andar	come
2	carcata	laden
2	da	on
2	ciascuna	either
2	mano	hand
3	gridò	cried out
3	Tendiam	Spread we
3	le	the
3	reti	nets
3	sì	so
3	ch'	that
3	io	I
3	pigli	may take
3	la	the
3	leonessa	lioness
3	e	and
3	leoncini	the young lions
3	al	at the
3	varco	pass
3	e	and
3	poi	then
3	distese	he stretched out
3	i	his
3	dispietati	pitiless
3	artigli	talons
4	prendendo	taking
4	l'	the
4	un	one
4	ch'	who
4	avea	was
4	nome	named
4	Learco	Learchus
4	e	and
4	rotollo	whirled him
4	e	and
4	percosselo	struck him
4	ad	on
4	un	a
4	sasso	rock
4	e	and
4	quella	she
4	s'	herself
4	annegò	drowned
4	con	with
4	l'	her
4	altro	other
4	carco	burden
5	E	And
5	quando	when
5	la	-
5	fortuna	Fortune
5	volse	turned
5	in	downward
5	basso	-
5	l'	the
5	altezza	loftiness
5	de'	of the
5	Troian	Trojans
5	che	-
5	tutto	all
5	ardiva	daring
5	sì	so
5	che	that
5	'nsieme	together
5	col	with the
5	regno	kingdom
5	il	the
5	re	king
5	fu	was
5	casso	undone
6	Ecuba	Hecuba
6	trista	sad
6	misera	wretched
6	e	and
6	cattiva	captive
6	poscia	when
6	che	-
6	vide	she saw
6	Polissena	Polyxena
6	morta	dead
6	e	and
6	del	-
6	suo	her
6	Polidoro	Polydorus
6	in	-
6	su	-
6	la	-
6	riva	-
7	del	on the
7	mar	sea-bank
7	si	-
7	fu	-
7	la	-
7	dolorosa	woeful
7	accorta	descried
7	forsennata	frantic
7	latrò	barked
7	sì	-
7	come	like
7	cane	a dog
7	tanto	to such degree
7	il	-
7	dolor	grief
7	le	her
7	fé	had
7	la	-
7	mente	mind
7	torta	distraught
8	Ma	But
8	né	neither
8	di	of
8	Tebe	Thebes
8	furie	furies
8	né	nor
8	troiane	the Trojan
8	si	were
8	vider	seen
8	mäi	ever
8	in	toward
8	alcun	any one
8	tanto	so
8	crude	cruel
8	non	whether
8	punger	in goading
8	bestie	beasts
8	nonché	or
8	membra	limbs
8	umane	human
9	quant'	as
9	io	I
9	vidi	saw
9	in	-
9	due	two
9	ombre	shades
9	smorte	pallid
9	e	and
9	nude	naked
9	che	who
9	mordendo	biting
9	correvan	were running
9	di	in
9	quel	the
9	modo	way
9	che	that
9	'l	a
9	porco	boar
9	quando	when
9	del	from the
9	porcil	sty
9	si	-
9	schiude	breaks loose
10	L'	-
10	una	One
10	giunse	came
10	a	at
10	Capocchio	Capocchio
10	e	and
10	in	on
10	sul	-
10	nodo	nape
10	del	of
10	collo	neck
10	l'	his
10	assannò	struck his teeth
10	sì	so
10	che	that
10	tirando	dragging
10	grattar	scratch
10	li	him
10	fece	made
10	il	his
10	ventre	belly
10	al	along the
10	fondo	bottom
10	sodo	solid
11	E	And
11	l'	the
11	Aretin	Aretine
11	che	who
11	rimase	remained
11	tremando	trembling
11	mi	me
11	disse	said
11	Quel	That
11	folletto	goblin
11	è	is
11	Gianni	Gianni
11	Schicchi	Schicchi
11	e	and
11	va	goes
11	rabbioso	rabid
11	altrui	others
11	così	thus
11	conciando	maltreating
12	Oh	Oh
12	diss'	said
12	io	I
12	lui	to him
12	se	so may
12	l'	the
12	altro	other
12	non	not
12	ti	thee
12	ficchi	fix
12	li	his
12	denti	teeth
12	a	on
12	dosso	-
12	non	not
12	ti	thee
12	sia	let it
12	fatica	weary
12	a	to
12	dir	tell
12	chi	who
12	è	is
12	pria	ere
12	che	-
12	di	-
12	qui	hence
12	si	it
12	spicchi	start
13	Ed	And
13	elli	he
13	a	to
13	me	me
13	Quell'	That
13	è	is
13	l'	the
13	anima	soul
13	antica	ancient
13	di	of
13	Mirra	Myrrha
13	scellerata	profligate
13	che	who
13	divenne	became
13	al	her
13	padre	father’s
13	fuor	beyond
13	del	-
13	dritto	rightful
13	amore	love
13	amica	lover
14	Questa	She
14	a	to
14	peccar	sinning
14	con	with
14	esso	him
14	così	by
14	venne	came
14	falsificando	falsifying
14	sé	herself
14	in	in
14	altrui	another’s
14	forma	form
14	come	even as
14	l'	the
14	altro	other
14	che	who
14	là	there
14	sen	off
14	va	goes
14	sostenne	undertook
15	per	in order to
15	guadagnar	gain
15	la	the
15	donna	lady
15	de	of
15	la	the
15	torma	herd
15	falsificare	to counterfeit
15	in	-
15	sé	-
15	Buoso	Buoso
15	Donati	Donati
15	testando	making a will
15	e	and
15	dando	giving
15	al	to the
15	testamento	will
15	norma	due form
16	E	And
16	poi	after
16	che	-
16	i	the
16	due	two
16	rabbiosi	rabid ones
16	fuor	had
16	passati	disappeared
16	sovra	upon
16	cu'	whom
16	io	I
16	avea	had
16	l'	my
16	occhio	eye
16	tenuto	kept
16	rivolsilo	I turned it
16	a	to
16	guardar	look at
16	li	the
16	altri	other
16	mal	miscreants
16	nati	miscreants
17	Io	I
17	vidi	saw
17	un	one
17	fatto	made
17	a	in
17	guisa	fashion
17	di	of
17	lëuto	lute
17	pur	but only
17	ch'	-
17	elli	he
17	avesse	had
17	avuta	had
17	l'	his
17	anguinaia	groin
17	tronca	cut off
17	da	at
17	l'	the
17	altro	part
17	che	where
17	l'	-
17	uomo	man
17	ha	is
17	forcuto	forked
18	La	The
18	grave	heavy
18	idropesì	hydropsy
18	che	which
18	sì	so
18	dispaia	unmates
18	le	the
18	membra	members
18	con	with
18	l'	the
18	omor	humor
18	che	that
18	mal	ill
18	converte	digests
18	che	that
18	'l	the
18	viso	face
18	non	not
18	risponde	corresponds
18	a	with
18	la	the
18	ventraia	belly
19	faceva	was making
19	lui	him
19	tener	hold
19	le	-
19	labbra	lips
19	aperte	open
19	come	as
19	l'	the
19	etico	hectic
19	fa	does
19	che	who
19	per	for
19	la	-
19	sete	thirst
19	l'	-
19	un	one
19	verso	toward
19	'l	his
19	mento	chin
19	e	-
19	l'	the
19	altro	other
19	in	-
19	sù	upward
19	rinverte	turns
20	O	Oh
20	voi	ye
20	che	who
20	sanz'	without
20	alcuna	any
20	pena	punishment
20	siete	are
20	e	and
20	non	not
20	so	know
20	io	I
20	perché	why
20	nel	in the
20	mondo	world
20	gramo	dismal
20	diss'	said
20	elli	he
20	a	to
20	noi	us
20	guardate	look
20	e	and
20	attendete	attend
21	a	to
21	la	the
21	miseria	misery
21	del	of
21	maestro	Master
21	Adamo	Adam
21	io	I
21	ebbi	had
21	vivo	Living
21	assai	enough
21	di	of
21	quel	what
21	ch'	-
21	i'	I
21	volli	wished
21	e	and
21	ora	now
21	lasso	alas
21	un	a
21	gocciol	drop
21	d'	of
21	acqua	water
21	bramo	long
22	Li	The
22	ruscelletti	rivulets
22	che	that
22	d'	from
22	i	the
22	verdi	green
22	colli	hills
22	del	the
22	Casentin	Casentino
22	discendon	descend
22	giuso	-
22	in	into
22	Arno	Arno
22	faccendo	making
22	i	-
22	lor	their
22	canali	channels
22	freddi	cool
22	e	and
22	molli	soft
23	sempre	ever
23	mi	me
23	stanno	stand
23	innanzi	before
23	e	and
23	non	not
23	indarno	in vain
23	ché	for
23	l'	-
23	imagine	image
23	lor	their
23	vie	far
23	più	more
23	m'	me
23	asciuga	dries up
23	che	than
23	'l	the
23	male	disease
23	ond'	which
23	io	-
23	nel	-
23	volto	face
23	mi	my
23	discarno	strips of flesh
24	La	The
24	rigida	rigid
24	giustizia	justice
24	che	that
24	mi	me
24	fruga	scourges
24	tragge	draws
24	cagion	occasion
24	del	from the
24	loco	place
24	ov'	where
24	io	I
24	peccai	sinned
24	a	to
24	metter	put
24	più	the more
24	li	-
24	miei	my
24	sospiri	sighs
24	in	in
24	fuga	flight
25	Ivi	There
25	è	is
25	Romena	Romena
25	là	-
25	dov'	where
25	io	I
25	falsai	falsified
25	la	the
25	lega	alloy
25	suggellata	stamped
25	del	with
25	Batista	Baptist
25	per	for
25	ch'	which
25	io	I
25	il	my
25	corpo	body
25	sù	on earth
25	arso	burned
25	lasciai	left
26	Ma	But
26	s'	if
26	io	I
26	vedessi	could see
26	qui	here
26	l'	the
26	anima	soul
26	trista	wretched
26	di	of
26	Guido	Guido
26	o	or
26	d'	of
26	Alessandro	Alessandro
26	o	or
26	di	of
26	lor	their
26	frate	brother
26	per	for
26	Fonte	Fount
26	Branda	Branda
26	non	not
26	darei	would give
26	la	the
26	vista	sight
27	Dentro	within
27	c'	here
27	è	is
27	l'	-
27	una	One of them
27	già	already
27	se	if
27	l'	the
27	arrabbiate	rating
27	ombre	shades
27	che	who
27	vanno	go
27	intorno	around
27	dicon	speak
27	vero	true
27	ma	But
27	che	what
27	mi	me
27	val	does it avail
27	c'	-
27	ho	who have
27	le	my
27	membra	limbs
27	legate	bound
28	S'	If
28	io	I
28	fossi	were
28	pur	only
28	di	-
28	tanto	so
28	ancor	yet
28	leggero	light
28	ch'	that
28	i'	I
28	potessi	could
28	in	in
28	cent'	hundred
28	anni	years
28	andare	go
28	un'	an
28	oncia	inch
28	io	I
28	sarei	should
28	messo	have set out
28	già	already
28	per	along
28	lo	the
28	sentiero	path
29	cercando	seeking for
29	lui	him
29	tra	among
29	questa	this
29	gente	folk
29	sconcia	disfigured
29	con	although
29	tutto	-
29	ch'	-
29	ella	it
29	volge	circles round
29	undici	eleven
29	miglia	miles
29	e	and
29	men	less
29	d'	than
29	un	a
29	mezzo	half
29	di	-
29	traverso	across
29	non	not
29	ci	-
29	ha	is
30	Io	I
30	son	am
30	per	Because of
30	lor	them
30	tra	among
30	sì	such
30	fatta	-
30	famiglia	family
30	e'	they
30	m'	me
30	indussero	induced
30	a	to
30	batter	strike
30	li	the
30	fiorini	forms
30	ch'	that
30	avevan	had
30	tre	three
30	carati	carats
30	di	of
30	mondiglia	base metal
31	E	And
31	io	I
31	a	to
31	lui	him
31	Chi	Who
31	son	are
31	li	the
31	due	two
31	tapini	poor wretches
31	che	that
31	fumman	are smoking
31	come	like
31	man	hand
31	bagnate	wet
31	'l	-
31	verno	winter
31	giacendo	lying
31	stretti	close
31	a'	to
