Group	Italian	English
1	O	O
1	voi	ye
1	che	who
1	siete	are
1	in	in
1	piccioletta	a little
1	barca	bark
1	desiderosi	desirous
1	d'	to
1	ascoltar	listen
1	seguiti	following
1	dietro	behind
1	al	-
1	mio	my
1	legno	craft
1	che	which
1	cantando	singing
1	varca	passes on
2	tornate	turn
2	a	to
2	riveder	see again
2	li	-
2	vostri	Your
2	liti	shores
2	non	not
2	vi	-
2	mettete	put out
2	in	upon
2	pelago	the deep
2	ché	for
2	forse	haply
2	perdendo	losing
2	me	me
2	rimarreste	would remain
2	smarriti	astray
3	L'	The
3	acqua	water
3	ch'	that
3	io	I
3	prendo	sail
3	già	-
3	mai	never
3	non	-
3	si	was
3	corse	crossed
3	Minerva	Minerva
3	spira	inspires
3	e	and
3	conducemi	guides me
3	Appollo	Apollo
3	e	and
3	nove	nine
3	Muse	Muses
3	mi	to me
3	dimostran	point out
3	l'	the
3	Orse	Bears
4	Voialtri	Ye other
4	pochi	few
4	che	who
4	drizzaste	have lifted tip
4	il	your
4	collo	necks
4	per	be.
4	tempo	times
4	al	to the
4	pan	bread
4	de	of
4	li	the
4	angeli	Angels
4	del	oil
4	quale	which
4	vivesi	one subsists
4	qui	here
4	ma	but
4	non	never
4	sen	of it
4	vien	becomes
4	satollo	sated
5	metter	put forth
5	potete	ye may
5	ben	well
5	per	over
5	l'	the
5	alto	deep
5	sale	salt
5	vostro	your
5	navigio	vessel
5	servando	keeping
5	mio	my
5	solco	wake
5	dinanzi	before
5	a	-
5	l'	the
5	acqua	water
5	che	which
5	ritorna	turns again
5	equale	smooth
6	Que'	Those
6	glorïosi	glorious
6	che	who
6	passaro	passed over
6	al	to
6	Colco	Colchos
6	non	not
6	s'	-
6	ammiraron	wondered
6	come	as
6	voi	ye
6	farete	shall do
6	quando	when
6	Iasón	Jason
6	vider	saw
6	fatto	become
6	bifolco	a ploughman
7	La	The
7	concreata	concreate
7	e	and
7	perpetüa	perpetual
7	sete	thirst
7	del	for the
7	deïforme	deiform
7	regno	realm
7	cen	us on
7	portava	was bearing
7	veloci	swift
7	quasi	almost
7	come	as
7	'l	the
7	ciel	heavens
7	vedete	ye see
8	Beatrice	Beatrice
8	in	-
8	suso	upward
8	e	and
8	io	I
8	in	upon
8	lei	her
8	guardava	was looking
8	e	and
8	forse	perhaps
8	in	in
8	tanto	such time
8	in	as
8	quanto	-
8	un	a
8	quadrel	quarrel
8	posa	rests
8	e	and
8	vola	flies
8	e	and
8	da	from
8	la	the
8	noce	notch
8	si	is
8	dischiava	unlocked
9	giunto	arrived
9	mi	myself
9	vidi	I saw
9	ove	where
9	mirabil	wonderful
9	cosa	thing
9	mi	my
9	torse	drew
9	il	-
9	viso	sight
9	a	to
9	sé	itself
9	e	and
9	però	therefore
9	quella	she
9	cui	whom
9	non	not
9	potea	could
9	mia	my
9	cura	the working of my mind
9	essere	be
9	ascosa	hid
10	volta	turned
10	ver'	toward
10	me	me
10	sì	-
10	lieta	glad
10	come	as
10	bella	beautiful
10	Drizza	Uplift
10	la	thy
10	mente	mind
10	in	to
10	Dio	God
10	grata	grateful
10	mi	me
10	disse	said
10	che	who
10	n'	us
10	ha	has
10	congiunti	conjoined
10	con	with
10	la	the
10	prima	first
10	stella	star
11	Parev'	seemed
11	a	to
11	me	me
11	che	that
11	nube	cloud
11	ne	us
11	coprisse	had covered
11	lucida	lucid
11	spessa	dense
11	solida	solid
11	e	and
11	pulita	polished
11	quasi	like
11	adamante	diamond
11	che	which
11	lo	the
11	sol	sun
11	ferisse	had struck
12	Per	Within
12	entro	-
12	sé	itself
12	l'	the
12	etterna	eternal
12	margarita	pearl
12	ne	us
12	ricevette	had received
12	com'	even as
12	acqua	water
12	recepe	receives
12	raggio	ray
12	di	of
12	luce	light
12	permanendo	remaining
12	unita	unbroken
13	S'	If
13	io	I
13	era	was
13	corpo	body
13	e	and
13	qui	here
13	non	not
13	si	it
13	concepe	is conceivable
13	com'	how
13	una	one
13	dimensione	dimension
13	altra	another
13	patio	brooked
13	ch'	which
13	esser	be
13	convien	needs must
13	se	if
13	corpo	body
13	in	-
13	corpo	body
13	repe	enter
14	accender	kindle
14	ne	us
14	dovria	ought
14	più	more
14	il	the
14	disio	desire
14	di	to
14	veder	see
14	quella	that
14	essenza	Essence
14	in	in
14	che	which
14	si	is
14	vede	seen
14	come	how
14	nostra	our
14	natura	nature
14	e	and
14	Dio	God
14	s'	were
14	unio	united
15	Lì	There
15	si	-
15	vedrà	will be seen
