Group	Italian	English
1	Già	Now
1	era	had
1	'l	the
1	sole	sun
1	a	-
1	l'	the
1	orizzonte	horizon
1	giunto	reached
1	lo	-
1	cui	whose
1	meridïan	meridian
1	cerchio	circle
1	coverchia	covers
1	Ierusalèm	Jerusalem
1	col	with
1	suo	its
1	più	highest
1	alto	highest
1	punto	point
2	e	and
2	la	the
2	notte	night
2	che	which
2	opposita	opposite
2	a	to
2	lui	it
2	cerchia	circles
2	uscia	was issuing
2	di	from
2	Gange	Ganges
2	fuor	forth
2	con	with
2	le	the
2	Bilance	Scales
2	che	that
2	le	her
2	caggion	fall
2	di	from
2	man	hand
2	quando	when
2	soverchia	she exceeds
3	sì	so
3	che	that
3	le	the
3	bianche	white
3	e	and
3	le	-
3	vermiglie	red
3	guance	cheeks
3	là	-
3	dov'	where
3	i'	I
3	era	was
3	de	of
3	la	the
3	bella	beautiful
3	Aurora	Aurora
3	per	by
3	troppa	too much
3	etate	age
3	divenivan	were becoming
3	rance	orange
4	Noi	We
4	eravam	were
4	lunghesso	alongside
4	mare	sea
4	ancora	still
4	come	like
4	gente	folk
4	che	who
4	pensa	are thinking
4	a	of
4	suo	their
4	cammino	road
4	che	who
4	va	go
4	col	in
4	cuore	heart
4	e	and
4	col	in
4	corpo	body
4	dimora	linger
5	Ed	and
5	ecco	lo
5	qual	as
5	sorpreso	at approach
5	dal	of the
5	mattino	morning
5	per	through
5	li	the
5	grossi	dense
5	vapor	vapors
5	Marte	Mars
5	rosseggia	glows ruddy
5	giù	down
5	nel	in the
5	ponente	west
5	sovra	above
5	'l	the
5	suol	floor
5	marino	ocean
6	cotal	such
6	m'	me
6	apparve	appeared
6	s'	so
6	io	I
6	ancor	again
6	lo	it
6	veggia	behold
6	un	a
6	lume	light
6	per	along
6	lo	the
6	mar	sea
6	venir	coming
6	sì	so
6	ratto	swiftly
6	che	that
6	'l	-
6	muover	motion
6	suo	its
6	nessun	no
6	volar	flight
6	pareggia	equals
7	Dal	From
7	qual	which
7	com'	when
7	io	I
7	un	a
7	poco	little
7	ebbi	had
7	ritratto	withdrawn
7	l'	my
7	occhio	eye
7	per	to
7	domandar	ask
7	lo	-
7	duca	Leader
7	mio	my
7	rividil	again I saw it
7	più	brighter
7	lucente	brighter
7	e	and
7	maggior	larger
7	fatto	become
8	Poi	Then
8	d'	on
8	ogne	each
8	lato	side
8	ad	of
8	esso	it
8	m'	me
8	appario	appeared
8	un	a something
8	non	not
8	sapeva	know
8	che	what
8	bianco	white
8	e	and
8	di	-
8	sotto	beneath
8	a	little
8	poco	by
8	a	little
8	poco	by
8	un	-
8	altro	another
8	a	from
8	lui	it
8	uscìo	came forth
9	Lo	-
9	mio	My
9	maestro	Master
9	ancor	still
9	non	not
9	facea	said
9	motto	a word
9	mentre	until
9	che	-
9	i	the
9	primi	first
9	bianchi	white things
9	apparver	showed themselves
9	ali	wings
9	allor	then
9	che	When
9	ben	clearly
9	conobbe	recognized
9	il	the
9	galeotto	pilot
10	gridò	he cried out
10	Fa	Mind
10	fa	mind
10	che	-
10	le	thy
10	ginocchia	knees
10	cali	bend
10	Ecco	Lo!
10	l'	the
10	angel	Angel
10	di	of
10	Dio	God
10	piega	fold
10	le	thy
10	mani	hands
10	omai	henceforth
10	vedrai	shalt thou see
10	di	-
10	sì	such
10	fatti	-
10	officiali	officials
11	Vedi	See
11	che	how
11	sdegna	scorns
11	li	-
11	argomenti	means
11	umani	human
11	sì	so
11	che	that
11	remo	oar
11	non	not
11	vuol	wills
11	né	or
11	altro	other
11	velo	sail
11	che	than
11	l'	-
11	ali	wings
11	sue	his own
11	tra	between
11	liti	shores
11	sì	such
11	lontani	distant
12	Vedi	See
12	come	how
12	l'	them
12	ha	holds
12	dritte	straight
12	verso	toward
12	'l	-
12	cielo	heaven
12	trattando	stroking
12	l'	the
12	aere	air
12	con	with
12	l'	his
12	etterne	eternal
12	penne	feathers
12	che	that
12	non	not
12	si	are
12	mutan	changed
12	come	like
12	mortal	mortal
12	pelo	hair
13	Poi	Then
13	come	as
13	più	nearer
13	e	and
13	più	nearer
13	verso	toward
13	noi	us
13	venne	came
13	l'	the
13	uccel	Bird
13	divino	Divine
13	più	the
13	chiaro	brighter
13	appariva	he appeared
13	per	so
13	che	that
13	l'	my
13	occhio	eye
13	da	near
13	presso	by
13	nol	him not
13	sostenne	endured
14	ma	-
14	chinail	-
14	giuso	-
14	e	and
14	quei	he
14	sen	-
14	venne	came on
14	a	to
14	riva	shore
14	con	with
14	un	a
14	vasello	small vessel
14	snelletto	very swift
14	e	and
14	leggero	light
14	tanto	so
14	che	that
14	l'	the
14	acqua	water
14	nulla	naught
14	ne	of it
14	'nghiottiva	swallowed
15	Da	At
15	poppa	the stern
15	stava	stood
15	il	the
15	celestial	Celestial
15	nocchiero	Pilot
15	tal	such
15	che	that
15	faria	would make
15	beato	blessed
15	pur	but
15	descripto	described
15	e	and
15	più	more
15	di	than
15	cento	a hundred
15	spirti	spirits
15	entro	within
15	sediero	sat
16	In	In
16	exitu	exitu
16	Isräel	Israel
16	de	de
16	Aegypto	Egypto
16	cantavan	were singing
16	tutti	all
16	insieme	together
16	ad	with
16	una	one
16	voce	voice
16	con	with
16	quanto	whatso
16	di	of
16	quel	that
16	salmo	psalm
16	è	is
16	poscia	after
16	scripto	written
17	Poi	Then
17	fece	made
17	il	the
17	segno	sign
17	lor	them
17	di	of
17	santa	holy
17	croce	cross
17	ond'	whereon
17	ei	they
17	si	themselves
17	gittar	threw
17	tutti	all
17	in	upon
17	su	-
17	la	the
17	piaggia	strand
17	ed	and
17	el	he
17	sen	away
17	gì	went
17	come	as
17	venne	had come
17	veloce	swift
18	La	The
18	turba	crowd
18	che	which
18	rimase	remained
18	lì	there
18	selvaggia	strange
18	parea	seemed
18	del	to the
18	loco	place
18	rimirando	gazing
18	intorno	round about
18	come	like
18	colui	him
18	che	who
18	nove	new
18	cose	things
18	assaggia	makes essay
19	Da	On
19	tutte	all
19	parti	sides
19	saettava	was shooting forth
19	il	the
19	giorno	day
19	lo	the
19	sol	Sun
19	ch'	who
19	avea	had
19	con	with
19	le	his
19	saette	arrows
19	conte	bright
19	di	from
19	mezzo	mid
19	'l	-
19	ciel	heaven
19	cacciato	chased
19	Capricorno	the Capricorn
20	quando	when
20	la	the
20	nova	new
20	gente	people
20	alzò	raised
20	la	their
20	fronte	brow
20	ver'	toward
20	noi	us
20	dicendo	saying
20	a	to
20	noi	us
20	Se	If
20	voi	ye
20	sapete	know
20	mostratene	show us
20	la	the
20	via	way
20	di	to
20	gire	go
20	al	unto the
20	monte	mountain
21	E	And
21	Virgilio	Virgil
21	rispuose	answered
21	Voi	Ye
21	credete	believe
21	forse	perchance
21	che	that
21	siamo	are
21	esperti	acquainted
21	d'	with
21	esto	this
21	loco	place
21	ma	but
21	noi	we
21	siam	are
21	peregrin	pilgrims
21	come	even as
21	voi	ye
21	siete	are
22	Dianzi	Just now
22	venimmo	we came
22	innanzi	before
22	a	-
22	voi	you
22	un	a
22	poco	little
22	per	by
22	altra	another
22	via	way
22	che	which
22	fu	was
22	sì	so
22	aspra	rough
22	e	and
22	forte	difficult
22	che	that
22	lo	the
22	salire	ascent
22	omai	henceforth
22	ne	to us
22	parrà	will seem
22	gioco	play
23	L'	The
23	anime	souls
23	che	who
23	si	had
23	fuor	become
23	di	concerning
23	me	me
23	accorte	aware
23	per	by
23	lo	my
23	spirare	breathing
23	ch'	that
23	i'	I
23	era	was
23	ancor	still
23	vivo	alive
23	maravigliando	marvelling
23	diventaro	became
23	smorte	deadly pale
24	E	And
24	come	as
24	a	to
24	messagger	messenger
24	che	who
24	porta	bears
24	ulivo	an olive branch
24	tragge	press
24	la	the
24	gente	folk
24	per	to
24	udir	hear
24	novelle	news
24	e	and
24	di	of
24	calcar	crowding
24	nessun	no one
24	si	himself
24	mostra	shows
24	schivo	shy
25	così	so
25	al	at the
25	viso	sight
25	mio	of me
25	s'	-
25	affisar	stopped still
25	quelle	those
25	anime	souls
25	fortunate	fortunate
25	tutte	all
25	quante	of them
25	quasi	as if
25	oblïando	forgetting
25	d'	to
25	ire	go
25	a	to
25	farsi	make themselves
25	belle	fair
26	Io	I
26	vidi	saw
26	una	one
26	di	of
26	lor	them
26	trarresi	drawing
26	avante	forward
26	per	to
26	abbracciarmi	embrace me
26	con	with
26	sì	so
26	grande	great
26	affetto	affection
26	che	that
26	mosse	moved
26	me	me
26	a	to
26	far	do
26	lo	the
26	somigliante	like
27	Ohi	O
27	ombre	shades
27	vane	empty
27	fuor	save
27	che	-
27	ne	in
27	l'	-
27	aspetto	aspect
27	tre	Three
27	volte	times
27	dietro	behind
27	a	-
27	lei	it
27	le	my
27	mani	hands
27	avvinsi	clasped
27	e	and
27	tante	as oft
27	mi	-
27	tornai	returned
27	con	with
27	esse	them
27	al	unto
27	petto	breast
28	Di	With
28	maraviglia	marvel
28	credo	I believe
28	mi	me
28	dipinsi	painted
28	per	wherefore
28	che	-
28	l'	the
28	ombra	shade
28	sorrise	smiled
28	e	and
28	si	-
28	ritrasse	drew back
28	e	and
28	io	I
28	seguendo	following
28	lei	it
28	oltre	forward
28	mi	-
28	pinsi	pressed
29	Soavemente	Gently
29	disse	it said
29	ch'	that
29	io	I
29	posasse	should pause
29	allor	then
29	conobbi	knew
29	chi	who
29	era	it was
29	e	and
29	pregai	I prayed
29	che	that
29	per	to
29	parlarmi	speak with me
29	un	a
29	poco	little
29	s'	it
29	arrestasse	would stop
30	Rispuosemi	It replied to me
30	Così	So
30	com'	as
30	io	I
30	t'	thee
30	amai	loved
30	nel	in the
30	mortal	mortal
30	corpo	body
30	così	so
30	t'	thee
30	amo	love
30	sciolta	loosed from it
30	però	therefore
30	m'	-
30	arresto	I stop
30	ma	but
30	tu	thou
30	perché	wherefore
30	vai	goest
31	Casella	Casella
31	mio	mine
31	per	in order to
31	tornar	return
31	altra	another
31	volta	time
31	là	this place
31	dov'	where
31	io	I
31	son	am
31	fo	make
31	io	I
31	questo	this
31	vïaggio	journey
31	diss'	said
31	io	I
31	ma	but
31	a	from
31	te	thee
31	com'	how
31	è	has been
31	tanta	so much
31	ora	time
31	tolta	taken
32	Ed	And
32	elli	he
32	a	to
32	me	me
32	Nessun	No
32	m'	me
32	è	has been
32	fatto	done
32	oltraggio	wrong
32	se	if
32	quei	he
32	che	who
32	leva	takes
32	quando	when
32	e	and
32	cui	whom
32	li	him
32	piace	pleases
32	più	oft
32	volte	times
32	m'	to me
32	ha	hath
32	negato	denied
32	esto	this
32	passaggio	passage
33	ché	for
33	di	of
33	giusto	just
33	voler	will
33	lo	his
33	suo	own
33	si	is
33	face	made
33	veramente	Truly
33	da	for
33	tre	three
33	mesi	months
33	elli	he
33	ha	has
33	tolto	taken
33	chi	whoso
33	ha	has
33	voluto	wished
33	intrar	to enter
33	con	with
33	tutta	all
33	pace	peace
34	Ond'	Wherefore
34	io	I
34	ch'	who
34	era	was
34	ora	now
34	a	to
34	la	the
34	marina	seashore
34	vòlto	turned
34	dove	where
34	l'	the
34	acqua	water
34	di	of
